@relation 'IM_auto-status_intelligibility-weka.filters.unsupervised.attribute.Remove-R105-118,121-weka.filters.unsupervised.attribute.Remove-R106-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute timeSinceLastOMsg numeric
@attribute log(lastOMsg) numeric
@attribute KBCountFeature(60) numeric
@attribute log(KBCountFeature(60)) numeric
@attribute KBCountFeature(30) numeric
@attribute log(KBCountFeature(30)) numeric
@attribute Focus {'out of focus','in focus'}
@attribute UserInputCountFeature(120) numeric
@attribute log(UserInputCountFeature(120)) numeric
@attribute _future_respondedWithin(60) {0,1}

@data
100,2.004321,11,1.079181,1,0.30103,'out of focus',249,2.39794,0
104,2.021189,11,1.079181,0,0,'out of focus',235,2.372912,0
113,2.056905,22,1.361728,11,1.079181,'out of focus',167,2.225309,0
15,1.20412,152,2.184691,106,2.029384,'out of focus',557,2.746634,0
24,1.39794,210,2.324282,112,2.053078,'out of focus',615,2.789581,0
31,1.50515,253,2.404834,141,2.152288,'out of focus',658,2.818885,0
79,1.90309,0,0,0,0,'in focus',1203,3.080626,1
22,1.361728,60,1.78533,43,1.643453,'out of focus',1047,3.020361,1
45,1.662758,38,1.591065,0,0,'out of focus',1830,3.262688,1
17,1.255273,30,1.491362,30,1.491362,'out of focus',2240,3.350442,1
25,1.414973,30,1.491362,19,1.30103,'out of focus',2211,3.344785,1
11,1.079181,95,1.982271,73,1.869232,'out of focus',3590,3.555215,1
27,1.447158,104,2.021189,20,1.322219,'out of focus',2447,3.388811,1
10,1.041393,168,2.227887,119,2.079181,'out of focus',1110,3.045714,1
17,1.255273,143,2.158362,73,1.869232,'out of focus',1400,3.146438,1
5,0.778151,175,2.245513,32,1.518514,'out of focus',1627,3.211654,0
28,1.462398,63,1.80618,9,1,'out of focus',2585,3.412629,1
